s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
304,Sue Williams,Chicken Leg in Yellow,,303 Gallery also MoMA,America,FALSE,3,"painting, oil on canvas",36134,2017,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,3,0,1,1,4,4,FALSE,3,5,5,"all over, all directions, spillage, orientation, almost chaos, semi- representational, ranging from splotches to tiny odd drawings, different sizes, unfixed space, unmoored images, what is going on"
305,Barry Le Va ,Pyramid: Center Points and Lengths (Through Points of Tangency): 3 Layers Separately Overlaid,,MoMA,America,FALSE,1,"drawing, ink on colored paper",34240,1974,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1,0,1,3,3,FALSE,5,5,0,"repetition & system to place lines, 2 colors, system to make work, animates space between almost signature-like marks, diagram-like, the shorter lines are so short that in some ways they read as points, puzzle as to what this is and how it was made"
306,Ant Farm,Cadillac Ranch Show,,MoMA,America,FALSE,4,"photo, still from video (color, sound)",0,1974,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,1,0,0,0,5,4,FALSE,0,0,5,"repetition & placing of utilitarian objects in way they can't be used, series of 10 different model Cadillacs (each features one step in evolution of the tail fin 1949-1963) half buried in ground. Consumerism, absurdity, why, how"
307,James Turrell ,Frontal Passage,,MoMA,America,FALSE,2,"installation, light",278592832,1994,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,5,5,0,0,1,FALSE,0,0,5,"use of colored light, can't work out physical depth of space, can't see what is making the light, only the effect that it gives: light is given a physical presence"
308,Joan Waltemath ,Untitled,,MoMA,America,TRUE,1,"drawing, pencil & colored pencil on diazotype",13054,1994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,4,1,0,1,1,FALSE,3,5,5,"slim grid, off center, select rectangles, creating spatial effect, restrained selection, seeming notations / measurements around outer edge, spatial depth & complexity from different values, shapes, placements"
309,Raoul De Keyser,Forcalquier A1,,MoMA,Belgium,FALSE,3,"painting, watercolor on paper",630,1993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,5,5,1,0,1,FALSE,0,5,5,"thin, washes simple 3 line format, not straight lines, spare, subtle confounding abstractions, economical means, overpainting lines, washy texture of paint"
310,David Ireland,"Untitled from A variation on 79, side to side passes on a dumball, dedicated to the memory of John Cage 1912-1992",conceptual,MoMA,America,FALSE,5,"print, one from a portfolio of five etching & drypoints",3330,1993,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,3,4,3,0,4,4,FALSE,0,5,0,"overlaying wandering thin lines on top of straight music line paper, smudgedness, difference between thinness of lines & sense of result of physical process, presume this used chance, rolling of dumball, what is this, what does it record, how is it in places so light & fluid if created with heavy object"
311,Michael Krebber ,Untitled (1),,Greene Naftali Gallery and MoMA,Germany,FALSE,3,"painting, lacquer on canvas",19200,2013,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,5,5,0,0,3,FALSE,5,5,3,"spray paint, empty space, pixelation, minimal means, sense of shading creates odd space, what is it, how is it made, what are the space & objects depicted"
312,Glenn Ligon,Study for Black Like Me. #2,,MoMA,America,TRUE,3,"painting, oilstick on paper",3078,1992,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,4,5,0,0,1,FALSE,3,5,5,"overlapping text, smudging paint, black all-capital oil-stick stenciled letters, repeated text, maybe slightly closer towards the bottom, definitely much darker, smudged ground & hard to read text"
313,Al Taylor,Untitled,,MoMA,America,FALSE,6,"sculpture, wooden broomsticks w/ enamel paint mounted on formica laminate",757568,1988,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,1,3,0,4,3,FALSE,0,5,0,"suspension, use of paint to change look of object, can't quite work out what this wrapped item is or how handle holds up, complex, folded up lines"
