s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
2,Giorgio de Chirico,The Uncertainty of the Poet ,surrealism,Tate,Italy,FALSE,3,"painting, oil on canvas",9964,1913,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,3,0,0,4,3,FALSE,0,0,5,"distorted perspective, shadow, signification of objects, emptiness. relative sizes"
3,Giovanni Anselmo,Direction,arte povera,Tate,Italy,FALSE,6,"sculpture, fabric, glass & metal",3376800,1967,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,3,1,3,0,3,2,FALSE,0,0,5,"hard to understand the viewpoint, sense of force & what is acting on the material"
4,Milton Avery,Yellow Sky ,modernism,Tate,America,FALSE,3,"painting, oil on canvas",28704,1958,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,2,4,4,2,4,FALSE,0,0,5,"flatish, textured shapes & specific colors-linked to distortion of landscape. Early Moderism, little less about uncertainty, more to do w/ ambiguity"
5,Gillian Avery,Distillation,abstraction,Tate,UK,FALSE,3,"painting, oil, household paint on hardboard",32376,1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,1,2,0,2,4,FALSE,0,0,5,"shapes, layers, paint handlng/texture, orientation/placement/decreasing size descending down to left bottom of canvas; abstract, ambiguous"
6,Joseph (Jef) Banc,Pair-Bearing Matrix ,abstraction,Tate,France,FALSE,3,"painting, mixed media on canvas",4380,1956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,4,1,0,4,FALSE,0,0,5,"ambiguity through abstraction, odd shape, v textural"
7,Fiona Banner,Break Point ,conceptual,Tate,UK,TRUE,3,"painting, marker pen, acrylic on canvas",701988,1998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,1,2,0,0,0,FALSE,0,5,0,"ambiguity to do with reading text: placement of rows & of letters placed closer tog. further down, overlapping, textural handmade quality. Uncertainty occurs where the letters run over each other and the lines get denser the further down you go, to a point of being unable to read the words"
8,Thomas Barker of Bath,The Woodman and his Dog in a Storm ,representation,Tate,UK,FALSE,3,"painting, oil on canvas",35164,1787,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,1,0,4,1,FALSE,0,0,5,"dark values, both pairs of eyes fixed on object out of canvas"
9,Uta Barth,Field #20 ,conceptual,Tate,Germany,FALSE,4,"photo, digital print w/ acrylic on canvas",143936,1997,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,1,5,0,0,1,FALSE,0,0,5,"v pixelated, very, very large photo; texture:pixelation. Uncertainty in the lack of clarity of the image, the photo is huge and the out of focus pixellation is dominant. The street lamps are eaten into because of the pixellation, overall it has a fairly consistent value (not starkly b & w), value & pixellation changes the sense of space. If this was a crisp, focused photo, it would feel very different"
10,Willi Baumeister,Untitled (Suspended Lines I) ,abstraction,Tate,Germany,FALSE,5,"print, lithograph on paper",546,1953,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,1,0,4,3,FALSE,0,5,0,"lines don't meet, orientation of lines creates spatial effect, overlapping, space inbetween, diff weights of line, hard to work out what the lines describe"
11,Larry Bell,Untitled ,postminimal,Tate,United States,FALSE,2,"installation,sculpture, coated glass",25183728,1971,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,5,3,0,0,1,TRUE,0,0,5,"coating on glass greater at base, fragility of material, reflective properties, change in value on glass makes surface change from presence to almost not there. Value change on the glass from bottom to top changes the surface of the glass and makes it seem to somewhat float. If the glass didn't have this change in value, there would be much less a sense of uncertainty"
12,Hans Bellmer,The Doll ,surrealism,Tate,Germany,FALSE,4,"photo, gelatin silver print on paper",576,1936,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,3,1,0,4,4,FALSE,0,0,0,"viewpoint looking up at doll w/ no arms, legs on pole, disturbing, viewer is uncertain what it represents/ is about"
13,FrÃ©dÃ©ric Benrath,Untitled,abstraction,Tate,France,FALSE,5,"print, lithograph on paper",1247,1956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,3,5,0,1,1,FALSE,0,5,3,"visceral, overlapping scratched, textural lines, massed in one area, weird hair-like textural qualty of lines, hard to tell what this texture is"
14,Jyoti Bhatt,Baroda ,modernism,Tate,India,FALSE,4,"photo, gelatin silver print on paper",1464,1983,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,4,0,0,1,2,FALSE,0,0,5,"2 images, angled light, strong contrast making it hard to read, quality of tones, repetition & difference"
15,Richard Billingham,Arrow ,representation,Tate,UK,FALSE,4,"photo, chromogenic print on paper",3876,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,2,5,1,1,0,FALSE,0,0,5,"slightly pixelated, partially out of focus floor creates strange space, takes away the certainty of the ground"
16,Rut Blees Luxemburg,Viewing the Open,conceptual,Tate,Germany,FALSE,4,"photo, paper mounted onto aluminium",36300,1999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,4,2,4,0,1,FALSE,0,0,5,"depiction of empty space at night w/ eerie, odd light & color"
17,Sandra Blow,Space and Matter ,abstraction,Tate,UK,FALSE,3,"painting, oil on hardboard",18696,1959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,4,0,1,4,FALSE,0,3,5,"uncertain shapes, textures & spaces, overlapping, different scales, brush marks & handdrawn lines"
18,Mel Bochner,Language is not transparent ,conceptual,Tate,America,TRUE,1,"drawing, ink on paper",450,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,2,1,0,5,0,FALSE,0,5,0,"angled repeated sentence; content plays a part in addition to overlapping, placement & the materials. Uncertainty is predominately through orientation of the sentences and their subsequent overlapping, without the varied orientation, this would not communicate a jumbled sense of sentences piled up on each other"
19,Jonathan Borofsky,"Man with Briefcase at 2,756,805 ",postmod,Tate,America,TRUE,1,"drawing, ink on paper",630,1980,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,3,0,0,0,5,FALSE,0,0,5,"silhouette of man carrying briefcase w/ number on it, placed off-center w/in empty space - stark, unmoored - ambiguous. What is this about? The exact outline of the flat dark shape on the empty ground is vital to creating uncertainty, make the shape more understandable and the piece would change in feel."
20,Derek Boshier ,The Identi-Kit Man ,pop art,Tate,UK,FALSE,3,"painting, oil on canvas",33489,1962,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,1,2,0,1,4,FALSE,0,3,5,"more about ambiguity, collage effect, different sizes, collage combinations, hard to understand"
21,Boyd and Evans,The Wall ,representation,Tate,UK,FALSE,3,"painting, acrylic on canvas",12467,1986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,1,0,0,1,4,FALSE,0,0,5,"hyper-realist, telling story but difficult to understand, certain mood, sense of waiting, figure with back to viewer gazing into deep space, expanse of wall on right"
22,Georges Braque,Bottle and Fishes,cubism,Tate,France,FALSE,3,"painting, oil on canvas",9300,1910,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,4,3,0,3,4,FALSE,0,5,5,"multiple thick parallel lines w/ specific create angular shapes/planes, different orientations, can't quite read where the end of one object is & beginning of another, split up space, strong values w/ wide range w/in each facet/plane"
23,Adam Broomberg & Oliver Chanarin ,Political 1 sheet 19 ,conceptual,Tate,South Africa & UK,FALSE,4,"photo, digital print on paper",28500,2010,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,2,2,1,0,4,FALSE,0,0,5,"red circle on sourced photo, strange combination, strange photo, relative sizes of circle & plastic milk cartons, impending splash of milk in air"
24,Cecily Brown,Trouble in Paradise ,representation,Tate,UK,FALSE,3,"painting, oil on canvas",218695,1999,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,4,0,2,4,FALSE,0,5,5,"chaotic accumulation of lines in all directions, thick paint, semi-rep. areas squashed in by textural lines, hybrid biomorphic forms, textural brushwork, viscous paintly gestures"
25,Luis Camnitzer,Leftovers,conceptual,Tate,Germany/Uruguay,TRUE,2,"installation, cardboard boxes, gauze, polyvinyl acetate",1311380,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,4,4,0,4,FALSE,0,0,5,"uncertainty in terms of content, word 'leftovers' - what do these numbered boxes contain, what are the red stains"
26,James Casebere,Blue Hallway ,conceptual,Tate,America,FALSE,4,photo,47628,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,4,0,0,0,4,TRUE,0,0,5,"Photo is of a table-top model of a flooded room - uncertainty about what it is. Reflected lines in 'water', emptiness. "
27,Vija Celmins,Ocean ,conceptual,Tate,Latvia,FALSE,5,"print, lithograph on paper",1344,1975,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,2,2,4,0,0,4,FALSE,0,0,5,"more ambiguity - is this a photo - & emptiness. Surface of ocean, no horizon, depth of space"
28,Dennis Creffield,Norwich from the East End: High Summer ,representation,Tate,UK,FALSE,1,"drawing, charcoal on paper",9486,1987,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,4,4,0,2,1,FALSE,0,5,5,"standing up or falling, lines don't join together much to create shapes, overlapping, gestural markmaking"
29,Tacita Dean,The Roaring Forties: Seven Boards in Seven Days,conceptual,Tate,UK,TRUE,1,"drawing, chalk on blackboard",59536,1997,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,4,0,1,4,FALSE,0,5,3,"words, arrows, images, chalk texture, white on black, traces, erasure"
30,Peter Doig,Echo Lake ,representation,Tate,Scotland,FALSE,3,"paint, oil on canvas",416955,1998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,4,2,1,0,4,TRUE,0,0,5,"what's going on, figure w/ hands on head, strange light"
31,Leonardo Drew,Number 135,abstraction,Sikkema Jenkins,America,FALSE,2,"installation, wood and mixed media",127813760,2009,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,3,0,5,0,FALSE,0,3,5,"scale: sheer size of work, & force of wood sticking out on top left, will it fall off, wall installation seems to be part of a floor sited on wall, decay"
32,Marcel Duchamp,3 stoppages Ã©talon (3 Standard Stoppages),conceptual,Tate,France,FALSE,6,"sculpture, wood, glass & paint on canvas",468000,1913,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,0,0,0,4,FALSE,0,0,5,"chance: act of dropping 3 threads from a height equal to their length, cut wooden rulers to record the shape of each, 'preserved chance' "
33,Marlene Dumas,Lucy ,representation,Tate,South Africa,FALSE,3,"painting, oil on canvas",28600,2004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,4,1,1,4,4,FALSE,0,0,5,"uncertainty as to whether the person is dead or alive, face drained of color, yellows"
34,Max Ernst,Celebes ,surrealism,Tate,Germany,FALSE,3,"painting, oil on canvas",13500,1921,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,1,0,0,4,FALSE,0,0,5,"ambiguous -combination of objects together, fish at top in 'sky' etc"
35,Ã–yvind FahlstrÃ¶m,"Sketch for World Map Part 1 (Americas, Pacific) ",conceptual,Tate,Brazil,TRUE,5,"print, lithograph on paper",9078,1972,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,2,2,2,0,2,3,FALSE,0,5,3,representational play with expectation of realistic map
36,Jean Fautrier,Head of a Hostage ,abstraction,Tate,France,FALSE,6,"sculpture, lead on marble base",50220,1943,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,4,0,0,4,FALSE,0,0,5,"very textural, hard to read what this is,  is this a head?"
37,LeÃ_n Ferrari,Toilet ,postminimal,Tate,Argentine,FALSE,5,"print, blueprint on paper",10000,1982,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,2,1,1,0,0,4,FALSE,5,5,0,"puzzling plan of multiple, repeated, letraset icons, labyrinthine, complex, map, spaces, multiple recurring details, hard to tell what it is"
38,FranÃ§ois Louis Thomas Francia,A Shipwreck ,representation,Tate,France,FALSE,3,"painting, watercolour on paper",532,1800,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,1,0,2,4,FALSE,0,0,5,"uncertainty in terms of content, will the people on the ship survive"
39,Sam Francis,Painting ,abstraction,Tate,America,FALSE,3,"painting, watercolour on paper",3087,1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,4,0,2,4,FALSE,0,5,3,"uncertainty in terms of handling of paint, tentative, drips"
40,Helen Frankenthaler,Mirabelle ,abstraction,Tate,America,FALSE,5,"print, lithograph on paper",8979,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,2,0,2,4,FALSE,0,3,5,"suggestion of anti-gravity, hard to define what it is, textural, suspended shape not fully opaque"
41,Giuseppe Pinot-Gallizio,Industrial Painting ,abstraction,Tate,Italy,FALSE,6,"sculpture, monoprinted oil, acrylic, ink on canvas",2255,1958,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,1,1,FALSE,0,0,5,"hanging canvas - suspended roll of painted canvas just off the floor, invented chemical techniques, huge canvases"
42,Gaspar Gasparian ,Mediunic,modernism,Tate,Brazil,FALSE,4,"photo, gelatin silver print on paper",1160,1952,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,2,0,0,0,2,FALSE,0,3,5,"fragmented, split object, reconfigured, unconventional darkroom techniques, where is the object? behind glass?"
43,Sam Gilliam,Simmering ,abstraction,Tate,America,FALSE,6,"sculpture, acrylic on canvas and leather string",29160,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,4,2,FALSE,0,0,5,"is this a painting, why is it not on a stretcher, suspended more like a cloak"
44,Fernanda Gomes,Untitled ,postminimal,Tate,Brazil,FALSE,2,"installation, wood, paint & lacquer",396000,2013,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1,0,0,2,1,FALSE,0,5,5,"blank wall space w/ select lines / shapes, different sizes, what is it? empty space activated inbetween lines. Exact placing of basic elements on the wall in relation to the wall, floor is vital for the sense of what this piece communicates "
45,Arshile Gorky,Untitled,abstraction,Cleveland Museum of Art,Armenia / America,FALSE,3,"painting, oil & graphite on canvas",3200,1944,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,4,4,0,2,4,FALSE,0,3,5,"quality of thin paint, wash, shapes, drips, areas of bare canvas, handdrawn gestures"
46,Giorgio Griffa,Segni orizzontali ,abstraction,Tate,Italy,FALSE,3,"painting, acrylic on canvas",28757,1975,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,1,4,0,2,1,FALSE,0,5,3,"canvas hung, not stretched, & fold marks created, general simplicity, suggestion, tentativeness, angled paint lines stop halfway through a row"
47,Jan Groth,"Drawing, Untitled ",abstraction,Tate,Norway,FALSE,1,"drawing, crayon on paper",5544,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1,4,0,2,1,FALSE,0,5,0,"handdrawn lines, varying weights, position on surface, emptiness"
48,Philip Guston,Black Sea,,Tate,American,FALSE,3,"painting, oil on canvas",51381,1977,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,4,1,3,0,0,4,FALSE,0,3,5,"isolated object, painterly handling, semi-abstract, strange"
49,Hans Hartung,T1963-R6,abstraction,Tate,German-French,FALSE,3,"painting, acrylic on canvas",25380,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,4,2,2,2,FALSE,0,5,3,"markmaking, scratched into paint in particular area, looks like hair, but image doesn't seem to be head, haunting"
50,Eberhard Havekost,Ghost 1 ,representation,Tate,German,FALSE,3,"painting, oil on canvas",24000,2004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,2,0,0,4,FALSE,0,0,5,"back view of figure, clothing, lack of information, generalized, hazy quality of paint handling, enigmatic"
51,Stanley William Hayter,Ophelia,abstraction,Tate,UK,FALSE,3,"painting, oil, casein tempera & gesso on canvas",14500,1936,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,2,4,FALSE,0,3,5,"placing of particular color shapes & lines, odd, multiple viewpoints, sizes, can't tell what things are, where they are in space"
52,Tim Head,Ambidextrous ,conceptual,Tate,UK,FALSE,4,"photo, color on paper",576,1974,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,0,0,0,4,2,TRUE,0,0,5,"playing w/ ambiguity & uncertainty of what something is, mirror-image illusion: mirror held by a right hand reflects an identical mirror held by a left hand"
53,Nigel Henderson,Untitled No. 8 (Shattered Glass) ,collage,Tate,UK,FALSE,4,"photo, collage, gelatin silver print & ink on paper",14641,1959,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,4,0,4,2,FALSE,0,5,3,"collage of multiple images of shattered glass, different orientations & sizes, hard to tell scale, collage useful tool for ambiguity"
54,Anthony Hernandez,Rome #17 ,representation,Tate,America,FALSE,4,photo on paper,9900,1999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4,0,1,0,4,3,FALSE,0,5,5,"what is it? view up an elevator shaft in an unfinished building, repetition"
55,Eva Hesse,No Title ,postminimal,Whitney,America,FALSE,6,"sculpture, latex, rope, string, and wire",0,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,3,0,4,2,FALSE,0,5,0,"hanging weighty line and repetition, gravity, suspension, decay, materials, handmade quality, repetition"
56,Charline von Heyl,Twelve Thirty ,conceptual,Petzel Gallery,America,FALSE,3,"painting, acrylic on canvas",45344,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,0,0,4,2,FALSE,0,5,3,"layering of 2 systems, spaces, different weights of lines, values, sizes, sense of web, plays w/ digital & painting space & disorienting viewer"
57,Nicholas Hlobo,Balindile 1,postmod,Tate,South Africa,FALSE,6,"sculpture, rubber inner tubes, steel, hosepipes, ribbon",0,2012,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,1,3,0,3,4,FALSE,0,5,3,"line connecting 3 shapes, ambiguous, evocative, anthropomorphic "
58,Robert Holyhead,Untitled (Rift),abstraction,robertholyhead.com (has work in Tate),UK,FALSE,3,"painting, oil on canvas",1836,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,2,0,0,2,3,FALSE,0,0,5,"repeated painted shape, doubling, but not quite, ""ordered and Â‰Ã›ÃèrationalÂ‰Ã›Âù objects, but located in an uncertain place"
59,Rebecca Horn ,Concert for Anarchy,postmod,Tate,Germany,FALSE,2,"installation, piano, hydraulic rams & compressor",0,1990,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,2,0,1,0,4,4,FALSE,0,5,5,"movement: suspending heavy piano from ceiling, repeated sound cycle of lid opening & keys fanning out"
60,Rebecca Horn ,Landscape of the Golem II ,postmod,Sean Kelly Gallery,Germany,FALSE,3,"painting, acrylic on paper",1200,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,4,0,1,4,FALSE,0,3,5,"floating, ambiguous textural shapes and lines, odd space created"
61,Roni Horn,Then 2,conceptual,Hauser & Wirth Gallery,America,FALSE,1,"drawing, blue and red pigment and varnish on paper",56797,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,4,3,FALSE,3,5,0,"floating short lines grouped into almost symbols, in space, reassembled, collage-like, hard to grasp"
62,Shirazeh Houshiary,Vapour,postmod,Lehmann Maupin Gallery,Iran,FALSE,3,"painting, pencil & aquacryl on canvas & aluminum",51300,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3,3,1,4,0,FALSE,3,5,5,"undulating surface, repeated color pencil marks, more in center & darker color, seeming layers of marks/lines"
63,Tess Jaray,Cupola Blue ,abstraction,Karsten Schubert Gallery,UK,FALSE,3,"painting, oil on canvas",27816,1963,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,0,5,2,FALSE,0,5,5,"repetition, close to mirror image, hard to tell what the exact space is"
64,Frank Humphrey Sinkler Jennings,Swiss Roll ,,Tate,UK,FALSE,3,"painting, oil paint on canvas on board",1575,1939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,1,0,0,0,2,FALSE,0,0,5,"suggested movement of falling object painted in air in front of landscape, gravity, strange combination. Placement of swiss roll and its large size in relation to mountain landscape creates sense of gravity. "
65,Asger Jorn,Letter to my Son ,COBRA,Tate,Denmark,FALSE,3,"painting, oil on canvas",25480,1957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,4,2,0,2,FALSE,0,5,3,"paint drawn w/ energetic line, agitated painted marks"
66,Isaac Julien,Vagabondia ,conceptual,Tate,UK,FALSE,7,"video, 2 back projections, 7 mins",0,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,0,1,1,TRUE,0,0,5,video still - interesting because same image seen twice: different paths
67,Linda Karshan,Untitled ,abstraction,art-3gallery.com (has work in Tate),America,FALSE,1,"drawing, charcoal on paper",4256,1994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,2,0,1,5,FALSE,0,5,0,"markmaking, searching quality, overlayered, variations on similar shape"
68,Barbara Kasten,Untitled 13,conceptual,Tate,America,FALSE,4,"photo, gelatin silver print on paper",2091,1979,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,0,0,4,0,TRUE,0,5,3,"objects & prints layered, partial photogram, uses relative sizes, light box outline & darker outlines, semi-translucent, multiple orientations "
69,GyÃ¶rgy Kepes,Leaf and Prism ,,Tate,Hungary,FALSE,4,"photo, gelatin silver print on paper",980,1938,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,5,2,0,0,1,TRUE,0,3,5,"shadow on parts of a whole leaf shape, hard to understand, if the light falling on the leaf shape was changed to be a consistent one-value, the reading of space and the subsequent uncertainty of what this is, how it was done and most importantly, what the space is, would change."
70,Guillermo Kuitca,Untitled,postminimal,Sperone Westwater,Argentina,FALSE,3,"painting, oil on canvas",2475,2013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,0,2,5,FALSE,0,0,5,"shape facing in different directions, almost arrows pointing in opposite ways, hard to tell what it is "
71,Yayoi Kusama,Infinity Mirrored Room-Gleaming Lights of the Soul    ,postmod,David Zwirner Gallery,Japan,FALSE,2,"installation, wood, metal, mirrors, acrylic panel, LED lighting, water",0,2008,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,4,4,0,2,0,1,TRUE,5,0,0,"different size dots, use of reflection, water, LED lighting, creates repetition, hard to comprehend space"
72,Peter Lanyon,Thermal ,abstraction,Tate,UK,FALSE,3,"painting, oil on canvas",27816,1960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,3,4,0,0,1,FALSE,0,5,5,"overlayered paint, scraped surface, lines & marks from different directions, markmaking, sense of material, hard to tell what things are"
73,Julio Le Parc,"Continual Mobile, Continual Light ",constructivism,Tate,Argentina,FALSE,2,"installation, painted wood, aluminium & nylon thread - kinetic",1289280,1963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,1,1,0,4,0,TRUE,0,5,5,"kinetic relief - mirror-plate squares hung on threads, mirrors / reflections, moved by air currents, shadows, Â‰Ã›Ã·movementÂ‰Ã›Âª, Â‰Ã›Ã·indeterminacyÂ‰Ã›Âª, Â‰Ã›Ã·unpredictabilityÂ‰Ã›Âª"
74,Lee Bul,Souterrain,,Lehmann Maupin Gallery,South Korea,FALSE,6,"sculpture, plywood on wooden frame, acrylic, mirror, alkyd paint",47347200,2012,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,4,4,0,3,2,TRUE,0,3,5,"use of mirrors/ reflection, hard to ascertain space & what it is, open structure, repetition, multiple parts"
75,Lee Ufan,From Line ,minimalism,Tate,Korea,FALSE,3,"painting, oil & glue on canvas",41496,1978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,5,2,2,1,0,FALSE,0,5,0,"fading out parallel paint lines, handdrawn quality of marks, yellow almost erased lines seem to glow and absorb blue lines"
76,Liliane Lijn,Liquid Reflections 2nd Series ,abstraction,lilianelijn.com (and Tate),America,FALSE,2,"installation, acrylic drum w/ water, turntable, projector lamp, acrylic balls",1340640,1968,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,4,4,1,4,1,TRUE,5,0,5,"kinetic, motion, light, layers, suspension, reflection"
77,El Lissitzky,Troublemaker ,suprematism,Tate,Russia,FALSE,5,"print, lithograph on paper",2193,1923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0,0,0,4,4,FALSE,0,0,5,"specific unusual shapes, piled on top of each other, sited on empty space"
78,Heinz Mack,Light Dynamo ,kinetic art,Tate,Germany,FALSE,6,"sculpture, aluminium, glass, wood & motor",72732,1963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,2,2,0,5,0,TRUE,0,5,5,"optical illusions created thro materials & movement, when piece is turned on see rippling wave movements undulating across disc w/ reed pattern, lines constantly reforming geometries"
79,RenÃ© Magritte,Man with a Newspaper ,surrealism,Tate,Belgium,FALSE,3,"painting, oil on canvas",9396,1928,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,1,0,0,0,3,FALSE,0,0,5,"what is going on? 4 panels - multiple, repeated scene, w/, w/out figure - disquietening. Placement vital here in a literal way."
80,Kazimir Malevich,Suprematism ,suprematism,Tate,Russia,FALSE,3,"painting, oil on canvas",6336,1915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0,0,0,4,4,FALSE,0,0,5,"placement of different shapes at different angles, balance, spaces suggests movement"
81,Antoni Malinowski ,It's so green outside it is difficult to leave the window,abstraction,Camden Arts Center (Tate also),Poland,FALSE,3,"painting, acrylic on glass",630,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1,3,2,0,3,1,FALSE,0,5,0,"repetitive marks in specific direction in specific areas, 2 colors, suspended in space by use of glass as support"
82,Man Ray,Cadeau ,dada,Tate,America,FALSE,6,"sculpture, iron and nails",2106,1921,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,0,4,FALSE,0,0,5,"nails on flat iron surface - combined strange items into objects, unusable functionally, nails would tear clothes"
83,Man Ray,not titled Rayograph,surrealism,Met show,America,FALSE,4,"photo, gelatin silver print on paper",432,1922,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,5,0,0,1,3,FALSE,0,5,5,"rayograph, eerie light, placed objects, hard to tell exactly what they are"
84,Mike Mandel & Larry Sultan, [no title] ,conceptual,Tate,America,FALSE,4,"photo, gelatin silver print on paper",456,1977,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,2,0,0,4,FALSE,0,0,5,"image is hard to understand, strange, ambiguous"
